SA2_MAINCODE_2016,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,total_population
201011001,702,310,1833,1585,9485
201011002,670,260,1867,1327,10922
201011003,615,250,1574,1198,20423
201011004,528,240,1242,945,21811
201011005,638,300,1921,1634,6125
201011006,595,260,1465,1272,6085
201011007,646,236,1745,1583,3276
201011008,508,220,1234,958,12991
201021009,624,250,1631,1369,5263
201021010,511,200,1272,994,7244
201021011,550,266,1311,1016,8455
201021012,604,190,1603,1329,5035
201031013,454,150,1056,791,3142
201031014,489,165,1207,957,4418
201031015,513,200,1329,1124,3933
201031016,458,200,987,769,7372
201031017,442,160,1022,782,4895
202011018,577,240,1293,1029,13590
202011019,533,245,1188,951,10669
202011020,607,255,1493,1154,12264
202011021,611,260,1544,1169,8257
202011022,572,250,1324,1060,18021
202011023,720,330,1945,1828,4014
202011024,742,350,2002,1851,6851
202011025,677,290,1551,1393,9830
202021026,689,265,1755,1582,6073
202021027,568,265,1342,965,10624
202021028,519,230,1276,1043,7926
202021029,467,200,1141,895,4324
202021030,616,300,1575,1269,8806
202021031,731,320,2025,1689,6041
202031032,558,180,1421,1187,3839
202031033,466,125,1112,824,6772
203011034,707,315,1805,1710,5208
203011035,627,200,1608,1400,5803
203011036,617,240,1564,1358,5073
203021037,601,290,1545,1142,12622
203021038,449,230,1058,866,23595
203021039,680,290,1820,1276,11972
203021040,671,280,1774,1275,17367
203021041,623,330,1647,1376,20461
203021042,656,310,2043,1676,19044
203021043,666,310,1803,1554,16441
203021044,627,330,1588,1358,11072
203021045,510,260,1220,956,13582
203021046,794,300,2265,1674,8883
203021047,537,284,1403,1096,13570
203031048,564,300,1405,1163,11872
203031049,692,320,1595,1262,4785
203031050,727,350,1877,1577,19691
203031051,492,270,1173,896,7204
203031052,666,300,1598,1211,3978
203031053,769,400,2036,1767,15245
204011054,522,200,1291,936,6140
204011055,526,175,1236,914,6062
204011056,607,280,1556,1323,12190
204011057,585,231,1340,1063,8087
204011058,578,220,1393,1061,3773
204011059,536,200,1253,977,6149
204011060,713,250,1686,1525,3954
204011062,537,240,1277,1003,3322
204021063,537,200,1205,905,9651
204021064,540,160,1317,1121,3384
204021065,613,200,1447,1143,3516
204021066,584,220,1355,1026,17041
204021067,616,160,1449,1210,8669
204031068,616,250,1461,1173,4373
204031069,590,220,1336,1039,7689
204031070,653,203,1584,1341,2768
204031071,532,195,1310,960,4318
204031072,534,150,1334,1039,5495
204031073,669,250,1557,1315,12718
204031074,677,250,1545,1245,21370
204031075,689,220,1708,1445,3832
205011076,566,270,1405,1170,14223
205011077,579,195,1454,1208,5492
205011078,599,250,1483,1220,6809
205011079,597,250,1523,1211,16559
205021081,559,240,1262,985,13738
205021082,531,162,1273,1082,7056
205021084,488,225,1133,889,9551
205021085,458,150,1066,769,6060
205021086,492,250,1145,914,6104
205031087,498,185,1205,912,8439
205031089,540,220,1334,1075,8084
205031090,565,230,1401,1128,9819
205031091,529,260,1208,947,9519
205031093,496,240,1181,909,20648
205041094,556,200,1511,1265,10277
205041095,484,170,1225,872,15431
205041096,470,180,1092,808,12928
205041097,642,240,1663,1300,23823
205041098,601,200,1671,1370,3978
205051100,493,180,1312,943,4089
205051101,569,200,1391,1125,12349
205051102,613,150,1541,1314,5071
205051103,605,240,1543,1162,13040
205051104,484,176,1181,901,5087
206011105,823,401,2208,1725,24490
206011106,906,400,2205,1723,10521
206011107,742,321,1964,1416,12775
206011108,674,370,1990,1636,23502
206011109,723,378,2164,1840,8615
206021110,855,345,2447,1818,8006
206021111,881,404,2413,1862,22341
206021112,773,340,2059,1537,16861
206031113,824,326,2313,1757,13113
206031114,858,345,2350,1795,24969
206031115,643,300,1622,1265,9584
206031116,860,366,2424,1861,12962
206041117,338,380,1359,561,19738
206041118,970,501,2251,1868,11543
206041123,646,400,2048,1379,21255
206041124,437,400,2195,1610,7901
206041126,981,512,2296,1857,20212
206051134,981,360,2283,1636,15754
206071140,968,490,2594,1991,8081
206071141,969,400,2200,1712,8600
206071142,925,400,2223,1715,10634
206071143,1001,440,2603,1920,11794
207011146,818,400,2754,2251,6493
207011147,723,406,2217,1737,14214
207011148,702,481,2268,1996,17379
207011149,854,440,2791,2212,18772
207011151,953,371,2661,1821,21670
207011152,971,391,2659,1950,13760
207011153,922,438,2787,2205,22542
207011154,840,429,2596,2152,5558
207011155,910,416,2961,2341,14297
207021156,604,400,1811,1501,10015
207021157,572,420,1580,1364,18885
207021159,682,451,2090,1916,15031
207021160,636,420,1868,1596,12256
207021424,593,455,1880,1743,12791
207021425,547,401,1528,1316,12248
207031161,709,381,2110,1693,18527
207031162,612,351,1964,1516,9498
207031163,522,356,1655,1200,18343
207031164,633,391,1905,1544,15168
207031165,417,381,1629,1126,11625
207031166,514,400,1605,1373,9318
207031167,870,411,2685,2147,8646
208011168,867,540,2701,2213,11657
208011170,856,508,2724,2180,13654
208011171,809,365,2300,1724,9380
208011172,819,400,2697,2031,15186
208011173,927,430,2803,2111,14663
208021174,740,430,2298,1830,19215
208021176,729,358,2051,1477,16488
208021177,872,400,2511,1922,18669
208021178,835,420,2456,1911,15612
208021179,963,380,2571,1877,9992
208021180,699,395,2073,1688,6607
208021181,778,341,2202,1656,8114
208021182,753,360,2078,1553,11754
208021426,708,430,2082,1763,12333
208021427,717,421,2036,1705,11257
208031183,702,452,2180,2039,7583
208031185,754,360,1984,1547,10435
208031186,756,323,1902,1376,13052
208031187,674,340,1806,1515,4573
208031188,708,370,1940,1466,19737
208031189,790,370,2185,1787,11069
208031190,784,350,2111,1521,11672
208031191,701,388,1941,1569,7734
208031193,807,350,2237,1701,17225
208041195,787,391,2652,1937,18695
209011196,545,350,1562,1362,8868
209011197,751,350,2040,1727,17656
209011198,776,361,2197,1731,13011
209011199,555,300,1519,1194,13113
209011200,874,375,2443,1925,10134
209011201,948,400,2961,2416,6695
209011202,786,350,2097,1731,13866
209011203,737,350,2016,1684,15691
209011204,692,340,1893,1545,7918
209021205,437,340,1651,1367,10675
209021207,537,310,1388,1138,25550
209021208,545,320,1459,1268,21693
209021428,625,350,1702,1386,18875
209021429,666,351,1878,1529,10733
209031209,807,377,2386,2127,19408
209031210,730,331,2034,1799,2881
209031211,657,285,1693,1434,3399
209031212,733,210,2071,1881,4645
209031213,784,400,2344,2183,8063
209031214,842,405,2469,2295,5719
209031215,765,369,2231,2066,11634
209041216,558,341,1786,1432,6579
209041217,494,340,1386,1156,5861
209041219,447,315,1222,1112,20197
209041220,591,331,1704,1528,15724
209041221,586,331,1570,1469,10491
209041223,425,311,1109,1017,18402
209041224,714,318,1788,1647,13711
209041225,637,300,1765,1452,7184
209041430,794,351,1926,1811,15628
209041431,562,321,1487,1403,11357
209041432,502,311,1317,1205,7418
209041433,676,350,1655,1606,8394
209041434,776,346,1772,1659,12913
209041435,761,361,1949,1889,9349
209041436,653,341,1753,1592,10157
209041437,708,346,1607,1612,7148
210011226,683,350,1696,1375,6944
210011228,644,351,1844,1527,7580
210011229,572,350,1656,1411,23716
210011230,764,371,2191,1747,6002
210011231,817,400,2399,2069,8067
210021232,749,351,2133,1869,10694
210021233,796,343,2245,1932,2883
210021234,750,330,2070,1830,3373
210021235,668,295,1807,1579,8225
210031236,639,346,1852,1503,6975
210031237,451,330,1235,1088,11770
210031239,738,350,1916,1545,20893
210031438,540,326,1437,1254,20053
210031439,802,380,2100,1779,2427
210031440,484,315,1362,1129,5001
210041240,689,315,1903,1708,10875
210041241,698,315,1803,1510,23070
210051242,404,295,1005,913,11882
210051243,377,290,1004,927,13858
210051245,588,327,1602,1386,15858
210051246,668,390,2020,2020,13933
210051247,375,300,1076,1044,12443
210051249,404,346,1318,1358,17286
210051250,621,316,1434,1194,6027
210051441,562,320,1419,1350,7090
210051442,675,340,1686,1669,8637
210051443,579,330,1508,1489,13250
210051444,652,345,1502,1510,10743
210051445,767,350,1856,1816,2874
211011251,640,331,1574,1301,10795
211011254,642,376,1763,1589,13016
211011255,762,386,2423,2337,5659
211011256,688,390,1944,1763,13243
211011257,697,400,2055,1922,6596
211011258,724,425,2158,2054,9043
211011259,636,376,1794,1574,12295
211011260,612,381,1854,1577,16036
211011446,658,335,1579,1310,19849
211011447,657,324,1717,1356,12372
211011448,672,351,1794,1574,12632
211011449,718,325,1916,1723,3616
211021261,706,396,2259,1945,13969
211021262,778,376,2541,2333,8803
211031263,711,311,1808,1519,10436
211031265,751,381,2228,2018,15257
211031266,654,335,1727,1360,14944
211031267,709,344,1974,1592,17421
211031268,732,381,2162,1910,8099
211031450,689,330,1668,1314,13443
211031451,646,347,1771,1388,11677
211031452,683,351,1833,1587,4004
211041269,582,360,1695,1344,9280
211041270,747,363,2048,1650,13901
211041271,663,350,1887,1510,10441
211041272,686,375,1951,1664,8642
211041273,590,441,1828,1665,10433
211051274,723,325,1956,1748,8645
211051275,688,380,1924,1728,8659
211051276,613,300,1577,1278,12118
211051277,655,350,1662,1343,8227
211051278,665,330,1758,1466,16311
211051279,635,320,1699,1505,4886
211051280,691,335,1957,1711,6029
211051281,687,350,1791,1594,18868
211051282,728,340,1982,1680,8536
211051283,678,310,1862,1655,8305
211051284,753,336,2038,1762,8261
211051285,686,320,1771,1611,6531
211051286,566,270,1399,1142,14336
212011287,792,351,2018,1875,10718
212011288,632,253,1762,1502,7632
212011289,700,321,1915,1716,15554
212011290,621,250,1545,1335,6643
212011291,684,315,1525,1371,15057
212011292,647,321,1562,1390,22938
212021293,678,341,1911,1558,20177
212021294,737,380,1971,1901,19839
212021295,449,280,1064,973,10057
212021297,488,323,1358,1297,9231
212021299,683,354,2178,2182,6844
212021453,583,330,1577,1485,10470
212021454,561,345,1551,1468,11724
212021455,630,340,1709,1619,11315
212021456,588,320,1468,1345,11986
212031300,593,300,1391,1251,17368
212031301,744,380,1763,1710,19869
212031302,668,345,1662,1591,16070
212031303,742,350,1990,1865,7741
212031304,707,336,1600,1564,11914
212031305,540,320,1358,1307,21492
212031306,732,381,1894,1948,11995
212031308,651,300,1731,1536,6748
212031457,668,400,1997,2006,10488
212031458,613,360,1652,1654,13304
212041309,533,351,1595,1417,10661
212041310,489,342,1342,1257,11398
212041311,460,281,1112,994,27871
212041312,486,300,1315,1183,19838
212041313,694,380,1939,1596,9042
212041314,581,360,1618,1587,22016
212041316,496,321,1352,1213,6610
212041317,409,310,1120,1077,19819
212041318,449,319,1208,1220,11049
212041459,534,299,1245,1117,11336
212041460,460,300,1189,1102,16560
212051319,648,375,1942,1554,16452
212051320,349,360,1373,1070,21752
212051321,569,441,1799,1564,18316
212051322,552,420,1756,1541,17099
212051323,631,421,1902,1628,13448
212051324,660,420,1968,1655,16122
212051325,609,381,1732,1572,17157
212051326,632,371,1845,1520,19270
212051327,624,420,1886,1670,17578
213011328,515,275,1296,1071,7306
213011329,549,369,1635,1748,7922
213011330,576,320,1454,1403,21720
213011331,482,300,1404,1290,7378
213011332,520,320,1490,1379,11681
213011333,426,290,1116,1074,12253
213011334,427,288,1087,990,18471
213011335,404,280,1092,1037,15844
213011336,494,300,1305,1185,8908
213011337,441,300,1166,1094,10497
213011338,445,300,1214,1147,16711
213011339,601,330,1649,1527,10548
213011340,644,363,1960,1847,15544
213021341,734,335,1953,1440,11490
213021342,592,310,1586,1370,17060
213021343,539,340,1511,1274,12661
213021344,961,400,2484,2071,14915
213021345,684,325,1777,1676,4301
213021346,885,370,2606,2007,13542
213031347,495,300,1382,1232,16598
213031348,623,310,1660,1314,16281
213031349,779,380,2024,1765,11257
213031350,904,345,2386,1861,8076
213031351,694,301,1843,1449,10308
